[1912月2022 19:44:20.498] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher running: args [--launchTarget, forgeserver, --fml.forgeVersion, 40.1.86, --fml.mcVersion, 1.18.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220404.173914]
[1912月2022 19:44:20.500] [main/INFO] [cpw.mods.modlauncher.Launcher/MODLAUNCHER]: ModLauncher 9.1.3+9.1.3+main.9b69c82a starting: java version 17.0.5 by Oracle Corporation
[1912月2022 19:44:20.588] [main/INFO] [mixin/]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/C:/Users/Administrator/AppData/Roaming/.minecraft/server/1.18.xie/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2314!/ Service=ModLauncher Env=SERVER
[1912月2022 19:44:20.851] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrator\AppData\Roaming\.minecraft\server\1.18.xie\libraries\net\minecraftforge\fmlcore\1.18.2-40.1.86\fmlcore-1.18.2-40.1.86.jar is missing mods.toml file
[1912月2022 19:44:20.854] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrator\AppData\Roaming\.minecraft\server\1.18.xie\libraries\net\minecraftforge\javafmllanguage\1.18.2-40.1.86\javafmllanguage-1.18.2-40.1.86.jar is missing mods.toml file
[1912月2022 19:44:20.857] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrator\AppData\Roaming\.minecraft\server\1.18.xie\libraries\net\minecraftforge\lowcodelanguage\1.18.2-40.1.86\lowcodelanguage-1.18.2-40.1.86.jar is missing mods.toml file
[1912月2022 19:44:20.859] [main/WARN] [net.minecraftforge.fml.loading.moddiscovery.ModFileParser/LOADING]: Mod file C:\Users\Administrator\AppData\Roaming\.minecraft\server\1.18.xie\libraries\net\minecraftforge\mclanguage\1.18.2-40.1.86\mclanguage-1.18.2-40.1.86.jar is missing mods.toml file
[1912月2022 19:44:20.902] [main/INFO] [net.minecraftforge.fml.loading.moddiscovery.JarInJarDependencyLocator/]: No dependencies to load found. Skipping!
[1912月2022 19:44:21.984] [main/INFO] [mixin/]: Compatibility level set to JAVA_17
[1912月2022 19:44:21.998] [main/INFO] [cpw.mods.modlauncher.LaunchServiceHandler/MODLAUNCHER]: Launching target 'forgeserver' with arguments []
[1912月2022 19:44:22.041] [main/WARN] [mixin/]: Reference map 'mcmodwiki.refmap.json' for mcmodwiki.mixins.json could not be read. If this is a development environment you can ignore this message
[1912月2022 19:44:22.323] [main/WARN] [mixin/]: Error loading class: de/maxhenkel/gravestone/events/DeathEvents (java.lang.ClassNotFoundException: de.maxhenkel.gravestone.events.DeathEvents)
[1912月2022 19:44:22.323] [main/WARN] [mixin/]: Error loading class: de/maxhenkel/corpse/events/DeathEvents (java.lang.ClassNotFoundException: de.maxhenkel.corpse.events.DeathEvents)
[1912月2022 19:44:26.264] [modloading-worker-0/INFO] [net.minecraftforge.common.ForgeMod/FORGEMOD]: Forge mod loading, version 40.1.86, for MC 1.18.2 with MCP 20220404.173914
[1912月2022 19:44:26.264] [modloading-worker-0/INFO] [net.minecraftforge.common.MinecraftForge/FORGE]: MinecraftForge v40.1.86 Initialized
[1912月2022 19:44:26.578] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.SpiralSpiresModule
[1912月2022 19:44:26.591] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.PermafrostModule
[1912月2022 19:44:26.593] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.NoMoreLavaPocketsModule
[1912月2022 19:44:26.595] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.NewStoneTypesModule
[1912月2022 19:44:26.597] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.NetherObsidianSpikesModule
[1912月2022 19:44:26.598] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.MonsterBoxModule
[1912月2022 19:44:26.600] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.GlimmeringWealdModule
[1912月2022 19:44:26.605] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.FairyRingsModule
[1912月2022 19:44:26.606] [modloading-worker-0/INFO] [quark/]: Found Quark module class vazkii.quark.content.world.module.CorundumModule
